name	type	kingdom	P156N_rna	P160N_rna	P180N_rna	P193N_rna	P198N_rna	P207N_rna	P229N_rna	P268N_rna	P270N_rna	P303N_rna	P326N_rna	P368N_rna	P394N_rna
Anaerococcus	genus	Bacteria	0.0	0.0096596735198177	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0075315596451365
Anaeromyxobacter	genus	Bacteria	0.0073297671310513	0.0	0.0	0.0	0.0	0.0	0.0	0.006835111425173	0.0	0.001012488049967	0.0	0.0	0.0
Anaerostipes	genus	Bacteria	0.0	0.0	0.0	0.000989175810714	0.0	0.0	0.0024008347372436	0.0	0.0201380485963786	0.0	0.0029700237735388	0.0	0.0062762997042804
Anoxybacillus	genus	Bacteria	0.0	0.001287956469309	0.0286885565765263	0.0	0.0001680129925282	0.0	0.0033242327131066	0.0036453927600922	0.0180403352009225	0.0	0.0	0.0	0.0
Aquabacterium	genus	Bacteria	0.021200765630991	0.0159713696748631	0.0109968339722494	0.0212208598167581	0.0024425525201638	0.004149720029367	0.045969829231711	0.0031327594032043	0.0009638724114506	0.0015187320749505	0.001113758915077	0.0	0.0018433887243341
Aquaspirillum	genus	Bacteria	0.0	0.0	0.0	0.0001059831225765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aquincola	genus	Bacteria	0.0166717446044312	0.0148553470855155	0.0092810855968484	0.0291434458415705	0.0031922468580359	0.0019146012304464	0.0147018149157038	0.0071658146964312	0.0121451342478217	0.0013902239763008	0.0004950039622564	0.0	0.0011206535431503
Archangium	genus	Bacteria	0.0012216278551752	0.0	0.0	0.0	0.0	0.0	0.0028810016846924	0.0034175557125865	0.0201380485963786	0.0013499840666226	0.0	0.0	0.0
Arcobacter	genus	Bacteria	0.1685846440141802	0.0032198911732725	0.0	0.0059350548642845	0.0	0.017028688590794	0.0144050084234621	0.0	0.0	0.0273371773491092	0.0	0.0	0.0
Arenimonas	genus	Bacteria	0.0201568596103911	0.0289790205594532	0.0839758230608141	0.0059350548642845	0.0	0.0539241805375144	0.0468162773762521	0.0768950035331968	0.0067126828654595	0.0	0.0	0.0	0.0
Aromatoleum	genus	Bacteria	0.001861528160267	0.0046151773483573	0.0012181678036599	0.012082075973722	0.0	0.0003547643456415	0.0012004173686218	0.0006265518806408	0.0009589546950656	0.0	0.0	0.0	0.0
Arthrobacter	genus	Bacteria	0.134677370196895	0.1117182648315885	0.0807638185154577	0.0295312679928708	0.0613226015011879	0.0395962361880429	0.0584331475712005	0.0479520287140556	0.1898622110603943	0.0226305543282626	0.0054945439810468	0.0	0.1397665231027526
Asinibacterium	genus	Bacteria	0.0769625548760387	0.002146594115515	0.003110215668919	0.0019783516214281	0.0	0.0018920765100882	0.0	0.0034175557125865	0.0	0.0	0.0	0.0	0.0
Aspergillus	genus	Fungi	0.0	0.0	0.1617312147837902	0.0	0.0	0.0	0.0	0.0034175557125865	0.0	0.0	0.0	0.0	0.0
Asterionella	genus	Eukaryota	0.0608666824084574	0.0035418802905998	0.0039647395698745	0.0033137389658921	0.0017025316576191	0.000709528691283	0.0577167706246534	0.0041010668551038	0.0029407943982013	0.0	0.0	0.0	0.0005379685460811
