name	type	kingdom	P156T_rna	P160T_rna	P180T_rna	P193T_rna	P198T_rna	P223T_rna	P229T_rna	P268T_rna	P270T_rna	P303T_rna	P368T_rna
Haliea	genus	Bacteria	0.0	0.036460393890963	0.0094572893879297	0.0090445204282221	0.0011382702985368	0.0024572165620145	0.0029186637462708	0.00154773903387	0.0	0.0	0.0
Halioglobus	genus	Bacteria	0.0	0.0168945804778257	0.0006448151855406	0.0014280821728771	0.0011382702985368	0.0024572165620145	0.0018762838368884	0.00154773903387	0.0	0.0	0.0
Halobacillus	genus	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0495187864573564	0.0
Halobacteriovorax	genus	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0093814191844421	0.0061909561354801	0.0683989527059812	0.007670960004459	0.0
Halocynthiibacter	genus	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0001954462330092	0.0	0.0	0.0	0.0
Haloferula	genus	Bacteria	0.0	0.0130077429893433	0.0064481518554066	0.0	0.0	0.0036858248430218	0.0125085589125895	0.0154773903387002	0.0	0.0	0.0
Halolamina	genus	Archaea	0.0	0.0	0.0	0.0007636803063514	0.0	0.0	0.0	0.0	0.0230118675405831	0.0	0.0
Halomonas	genus	Bacteria	0.0	0.0	0.0	0.0087568675128298	0.0	0.0	0.0	0.0	0.1669852233093647	0.0	0.0
Halothiobacillus	genus	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0033651686460688
Helicobacter	genus	Bacteria	0.0	0.0585348434520452	0.0354648352047366	0.0222146115780895	0.0079678920897576	0.066344847174394	1.3540515022878208	0.2631156357579047	0.0569991272549843	0.0383548000222954	1.0734887980959764
Herbaspirillum	genus	Bacteria	0.0	0.0078051511449265	0.0250761461043592	0.000288501449066	0.0833493924922131	0.047147842783655	0.0036483296828386	0.0097151891830573	0.0104893104577263	0.0176553841372471	0.0063938204275308
