type	name	kingdom	P156T_rna	P160T_rna	P180T_rna	P193T_rna	P198T_rna	P207T_rna	P223T_rna	P229T_rna	P268T_rna	P270T_rna	P303T_rna	P326T_rna	P368T_rna	P394T_rna
species	Mycobacterium_sp._GA-2945b	Bacteria	0.0	0.0005707917812041	0.0	0.0	0.0	0.0	0.0002575208978208	5.1843952551777125e-05	0.0003047070516182	0.0001770804346181	0.0002346074079635	0.0	3.488003621942934e-05	2.5739429459806403e-05
species	Mycobacterium_sp._H001	Bacteria	0.0	0.0003667941203683	0.0002209605057113	0.0002636141589995	0.0	0.0	0.0	0.0006730954944515	0.0005814099404859	0.0003557365916183	0.0	0.0	0.0002553218651262	0.0028051905170111
species	Mycobacterium_sp._H002	Bacteria	0.0	0.0003667941203683	0.0002209605057113	0.0002636141589995	0.0	0.0	0.0	0.0006730954944515	0.0005814099404859	0.0004385718777935	0.0	0.0	0.0002553218651262	0.0028051905170111
species	Mycobacterium_sp._H003	Bacteria	0.0	0.0003667941203683	0.0002209605057113	0.0002636141589995	0.0	0.0	0.0	0.0006730954944515	0.0005814099404859	0.0004385718777935	0.0	0.0	0.0002553218651262	0.0028051905170111
species	Mycobacterium_sp._H054	Bacteria	0.0	0.0003667941203683	4.082965866405355e-05	0.0	0.0	0.0	0.0	0.000492859782187	3.950440928464236e-05	4.096250415257353e-05	0.0	0.0	0.0	0.0028051905170111
species	Mycobacterium_sp._H063	Bacteria	0.0	0.0003667941203683	0.0002209605057113	0.0002636141589995	0.0	0.0	0.0	0.0006730954944515	0.0005814099404859	0.0003557365916183	0.0	0.0	0.0002553218651262	0.0028051905170111
species	Mycobacterium_sp._H070	Bacteria	0.0	0.0003667941203683	4.082965866405355e-05	0.0	0.0	0.0	0.0	0.000492859782187	3.950440928464236e-05	0.0001237977903277	0.0	0.0	0.0	0.0028051905170111
species	Mycobacterium_sp._H072	Bacteria	0.0	0.0003667941203683	4.082965866405355e-05	0.0	0.0	0.0	0.0	0.000492859782187	3.950440928464236e-05	0.0001237977903277	0.0	0.0	0.0	0.0028051905170111
species	Mycobacterium_sp._H079	Bacteria	0.0	0.0003667941203683	4.082965866405355e-05	0.0	0.0	0.0	0.0	0.000492859782187	3.950440928464236e-05	0.0001237977903277	0.0	0.0	0.0	0.0028051905170111
species	Mycobacterium_sp._H092	Bacteria	0.0	0.0003667941203683	0.0002209605057113	0.0002636141589995	0.0	0.0	0.0	0.0006730954944515	0.0005814099404859	0.0003557365916183	0.0	0.0	0.0002553218651262	0.0028051905170111
