type	name	kingdom	P1492N_rna	P1492T_rna
species	Actinomyces_sp._oral_taxon_172	Bacteria	0.0035026072086929	0.0339470922363065
species	Actinomyces_sp._oral_taxon_175	Bacteria	0.0053594876329822	0.0294623405284675
species	Actinomyces_sp._oral_taxon_178	Bacteria	0.0	0.0078598864023965
species	Actinomyces_sp._oral_taxon_180	Bacteria	0.0035026072086929	0.0339470922363065
species	Actinomyces_sp._oral_taxon_848	Bacteria	0.0	0.0484445828575386
species	Actinomyces_sp._oral_taxon_849	Bacteria	0.0093791033577189	0.0195097799686194
species	Actinomyces_sp._oral_taxon_877	Bacteria	0.0	0.0078598864023965
species	Actinomyces_urogenitalis	Bacteria	0.0	0.0006920654693934
species	Actinomyces_viscosus	Bacteria	0.0053594876329822	0.0294623405284675
species	Actinomycetaceae_bacterium_BA112	Bacteria	0.0	0.0484445828575386
species	Actinoplanes_sp._N902-109	Bacteria	0.0	0.0002840991253667
species	Actinoplanes_sp._SE50/110	Bacteria	0.0	0.0002840991253667
species	Actinosynnema_mirum	Bacteria	0.0703432751828924	0.0002840991253667
species	Adhaeribacter_aquaticus	Bacteria	0.0160784628989468	0.0
species	Advenella_kashmirensis	Bacteria	0.004823538869684	0.0
species	Advenella_mimigardefordensis	Bacteria	0.004823538869684	0.0
species	Aerococcus_urinaehominis	Bacteria	0.0080392314494734	0.0
species	Aerococcus_viridans	Bacteria	0.0	0.0138413093878681
species	Aeromonas_aquatica	Bacteria	0.0059841735270458	0.0035938838410605
species	Aeromonas_bivalvium	Bacteria	0.0059841735270458	0.0035938838410605
species	Aeromonas_encheleia	Bacteria	0.0059841735270458	0.0035938838410605
species	Aeromonas_enteropelogenes	Bacteria	0.0002115587223545	0.0003642449838912
species	Aeromonas_eucrenophila	Bacteria	0.0059841735270458	0.0035938838410605
species	Aeromonas_fluvialis	Bacteria	0.0006581826917697	0.0
species	Aeromonas_hydrophila	Bacteria	0.0059841735270458	0.0035938838410605
species	Aeromonas_jandaei	Bacteria	0.0059841735270458	0.0035938838410605
species	Aeromonas_lacus	Bacteria	0.0059841735270458	0.0035938838410605
species	Aeromonas_media	Bacteria	0.0059841735270458	0.0035938838410605
species	Aeromonas_piscicola	Bacteria	0.0059841735270458	0.0035938838410605
species	Aeromonas_popoffii	Bacteria	0.0059841735270458	0.0035938838410605
species	Aeromonas_rivuli	Bacteria	0.0059841735270458	0.0035938838410605
species	Aeromonas_salmonicida	Bacteria	0.0059841735270458	0.0035938838410605
species	Aeromonas_schubertii	Bacteria	0.0009490759350072	0.0003642449838912
species	Aeromonas_simiae	Bacteria	0.0002115587223545	0.0003642449838912
species	Aeromonas_sp._HZM	Bacteria	0.0059841735270458	0.0035938838410605
species	Aeromonas_sp._RU34C	Bacteria	0.0059841735270458	0.0035938838410605
species	Aeromonas_tecta	Bacteria	0.0059841735270458	0.0035938838410605
species	Aeromonas_veronii	Bacteria	0.0006581826917697	0.0003642449838912
species	Aestuariivita_atlantica	Bacteria	0.0026107201121269	0.0070428565265155
species	Aestuariivita_boseongensis	Bacteria	0.0106943829959203	0.0082377663041031
species	Afipia_birgiae	Bacteria	0.0027467640231732	0.0117805318058649
species	Afipia_broomeae	Bacteria	0.0508224953531676	0.1828479509031281
species	Afipia_clevelandensis	Bacteria	0.0020250463459686	0.0114194028227963
species	Afipia_felis	Bacteria	0.0014431451000234	0.0082483396505613
species	Afipia_massiliensis	Bacteria	0.0023023980111363	0.0119451093137379
species	Afipia_sp._1NLS2	Bacteria	0.0013266344993064	0.0080389276096631
