type	name	kingdom	P1492N_rna	P1492T_rna
genus	Fournierella	Bacteria	0.0040821737566632	0.0059056840581161
genus	Frankia	Bacteria	0.0011705157725199	0.0042772571361799
genus	Frigoribacterium	Bacteria	0.0111055410274442	0.0109921437379141
genus	Frondihabitans	Bacteria	0.0011105541027444	0.0004429263043587
genus	Fusobacterium	Bacteria	0.2000265140765013	0.3295371704428805
genus	Gemella	Bacteria	0.0775613013766025	1.3394091443807403
genus	Geminocystis	Bacteria	0.0346984769316379	0.0
genus	Gemmobacter	Bacteria	0.0	0.0062009682610219
genus	Geobacillus	Bacteria	0.0180439930378665	0.0
genus	Georgenia	Bacteria	0.0	0.0023622736232464
genus	Glaciibacter	Bacteria	0.0001256053463588	0.0
genus	Gordonia	Bacteria	0.7693866679351548	2.9341325984642586
genus	Granulicatella	Bacteria	0.0372644147215406	0.4763196004473969
genus	Guillardia	Eukaryota	0.0653147801066127	0.0590568405811613
genus	Haematobacter	Bacteria	0.0	0.0049607746088175
genus	Haemophilus	Bacteria	0.2794928298728801	0.243727581078453
genus	Haliea	Bacteria	0.0213633759932045	0.0129081380127395
genus	Halioglobus	Bacteria	0.0183697819049848	0.030540823271972
genus	Haloferula	Bacteria	0.0163286950266531	0.0
genus	Helicobacter	Bacteria	0.0571504325932861	1.6654029043887513
genus	Herbaspirillum	Bacteria	0.0123631548058945	0.0
genus	Herbiconiux	Bacteria	0.0012880399182515	0.0093188665881145
genus	Herminiimonas	Bacteria	0.0027214491711088	0.0
genus	Holdemanella	Bacteria	0.0	0.0318906939138271
genus	Humibacter	Bacteria	0.0013607245855544	0.0005905684058116
genus	Hyalangium	Bacteria	0.0016328695026653	0.0
genus	Hydrogenophaga	Bacteria	0.134189430202217	0.0010492954043463
genus	Hymenobacter	Bacteria	0.0	0.0248038730440877
genus	Hypomyces	Fungi	0.0	0.0004429263043587
genus	Ideonella	Bacteria	0.1925717514730913	0.0038354497564248
genus	Ilumatobacter	Bacteria	0.0040821737566632	0.0
genus	Ilyobacter	Bacteria	0.1061365176732456	0.0
genus	Immundisolibacter	Bacteria	0.0183697819049848	0.0069096503479958
genus	Intestinibacter	Bacteria	0.0183697819049848	0.044292630435871
genus	Intestinimonas	Bacteria	0.0	0.0153547785511019
genus	Janibacter	Bacteria	0.0	0.0014173641739478
genus	Jannaschia	Bacteria	0.6804762742182295	0.8316972487869627
genus	Janthinobacterium	Bacteria	0.6466843592847433	1.8983165643792288
genus	Jeotgalibaca	Bacteria	0.0791941708792678	0.002952842029058
genus	Jonesia	Bacteria	0.3306560742897267	0.0
genus	Kerstersia	Bacteria	0.0160583813124006	0.0
genus	Kibdelosporangium	Bacteria	0.0	0.0011302257421567
genus	Kineococcus	Bacteria	0.0	0.0011811368116232
genus	Kingella	Bacteria	0.0090536782245996	0.139152234808783
genus	Klebsiella	Bacteria	0.0483457549718885	0.0142236469541995
genus	Kluyvera	Bacteria	0.0005844658518829	3.769585569010292e-05
genus	Kocuria	Bacteria	0.2841828437878159	0.1499311454498763
genus	Kosakonia	Bacteria	0.0	0.0026575578261522
genus	Kryptoperidinium	Eukaryota	0.0688186459144153	0.0010124029813913
genus	Kutzneria	Bacteria	0.0	0.0012093693137819
genus	Lachnoanaerobaculum	Bacteria	0.019050144197762	0.3803260533426791
genus	Lachnoclostridium	Bacteria	0.460857978204635	0.0342951509946315
genus	Lactobacillus	Bacteria	1.5389795062620608	0.0318906939138271
genus	Lamprocystis	Bacteria	0.0030616303174974	0.0
