type	name	kingdom	P156N_rna	P160N_rna	P180N_rna	P193N_rna	P198N_rna	P207N_rna	P223N_rna	P229N_rna	P268N_rna	P270N_rna	P303N_rna	P326N_rna	P368N_rna	P394N_rna
genus	Nitrososphaera	Archaea	0.0219893013931539	0.0064397823465451	0.0	0.0	0.0159612342901796	0.0113524590605293	0.0341359405107263	0.0	0.0	0.0	0.0	0.0	0.0	0.0
genus	Nitrosospira	Bacteria	0.0	0.0033157212677152	0.0023418094448331	0.0011128227870533	0.0	0.0010642930369246	0.0	0.0108209051371483	0.0001708777856293	0.0	0.0	0.0	0.0	0.0
genus	Nitrosovibrio	Bacteria	0.0	0.000402486396659	0.0012440862675676	0.0003709409290177	0.0	0.0003547643456415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
genus	Nitrospira	Bacteria	0.0146595342621026	0.0	0.006220431337838	0.0	0.0	0.0113524590605293	0.0042669925638407	0.007202504211731	0.006835111425173	0.0	0.0	0.0	0.0	0.0
genus	Nocardia	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0019866803355926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
genus	Nocardioides	Bacteria	0.0278531150979949	0.0236125352706655	0.0247686265997552	0.0	0.0095767405741077	0.0141703015773393	0.0249134179466068	0.0172860101081546	0.0239228899881056	0.043632438625487	0.0	0.0	0.0	0.0
genus	Nodularia	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0036012521058655	0.0	0.0	0.0	0.0	0.0	0.0
genus	Nostoc	Bacteria	0.0036648835655256	0.0	0.0124408626756761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
genus	Noviherbaspirillum	Bacteria	0.0046797743990558	0.0090519722253438	0.003669241361045	0.0016763765214493	0.0	0.0015039582516085	0.0063457838128914	0.0075226155100302	0.0034175557125865	0.0042814868276488	0.0018224784899406	0.0006853901015858	0.0	0.0
genus	Novosphingobium	Bacteria	0.0716748225421186	0.0096596735198177	0.0412893472174673	0.0763781358661014	0.0047883702870538	0.0075683060403529	0.0164583998891002	0.3951450788211574	0.0107479650671199	0.0767221129410344	0.0420588184987097	0.0102465820187089	0.0	0.114388638728014
genus	Obesumbacterium	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007593660374752	0.0	0.0	0.0
genus	Oblitimonas	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4085965756303668	0.000941444955642
genus	Oceanibulbus	Bacteria	0.0	0.0	0.0	0.0044512911482133	0.0486817645850479	0.0	0.0	0.0	0.0	0.0004629436458937	0.0	0.0066825534904623	0.0	0.0
genus	Oceanicola	Bacteria	0.4251760825244834	0.2305444612897067	0.1330215597964835	0.8693432782702354	0.1894825730612589	0.0760140626053636	0.0614584283821058	0.2826525268077539	0.0363819450004014	0.50711303187981	0.0554180569797289	0.0431770704005365	0.4348996590383548	0.6771347879749294
genus	Oceaniovalibus	Bacteria	0.0010471095901501	0.0	0.0002704535364277	0.0	0.0	0.0	0.0	0.0002572322932761	0.0	0.0	0.0	0.0	0.0	0.0
genus	Oceanivirga	Bacteria	0.0065967904179461	0.0	0.0	0.0011870109728569	0.0	0.0	0.1113685059162447	0.0	0.0027340445700692	0.0	0.0	0.0	0.0	0.0
genus	Ochrobactrum	Bacteria	0.0183311314563082	0.0134482227466148	0.0021120790801347	0.0099726366414861	0.0009310720002604	0.0030147980326228	0.0049389302725658	0.0202145909461064	0.0056240253815747	0.0176951369310557	0.0369247634913506	0.0	0.0276824153898504	0.049321653415351
genus	Octadecabacter	Bacteria	0.0002155813862073	0.0	0.0	0.0001978351621428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
genus	Odontella	Eukaryota	0.1339142108724346	0.0054738149945633	0.0110145617527577	0.0060834312358916	0.0006384493716071	0.0021285860738492	0.0052626241620703	0.1127559069759652	0.0013670222850346	0.0235263551856106	0.0012149856599604	0.0	0.0	0.0058100602976767
genus	Olegusella	Bacteria	0.0	0.0	0.0020734771126126	0.0	0.0	0.0132445355706175	0.0	0.0	0.0	0.0022375609551531	0.0	0.0	0.0	0.0
genus	Oleiagrimonas	Bacteria	0.0	0.0064397823465451	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
genus	Oleiphilus	Bacteria	0.0256541849586795	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
genus	Oligotropha	Bacteria	0.000462368858806	0.0003417532742673	0.0002007112895893	0.0033534484144194	7.83402947696258e-05	0.0	0.0001304799313406	0.0003341070433997	0.0	0.0030059034063212	0.0001104532418145	0.0	0.0021114356726946	0.0008679001993307
genus	Olsenella	Bacteria	0.0073297671310513	0.0289790205594532	0.006220431337838	0.0059350548642845	0.0	0.025543032886191	0.0	0.0	0.0	0.0	0.0	0.0033412767452311	0.0346105334651604	0.0
genus	Opitutus	Bacteria	0.0	0.0	0.006220431337838	0.0385778566178494	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
genus	Oribacterium	Bacteria	0.0329839520897309	0.1094762998912676	0.3141317825608233	0.0356103291857071	0.2713409829330539	0.008514344295397	0.0128009776915223	0.0180062605293277	0.7211042553557567	0.013425365730919	0.3037464149901028	0.0356402852824658	0.1730526673258024	0.0376577982256829
genus	Ornithinibacillus	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009126893369703	0.0	0.0	0.0	0.0
genus	Ornithinimicrobium	Bacteria	0.0	0.0	0.0017624555457207	0.0	0.0	0.0	0.0	0.0018006260529327	0.0	0.0016781707163648	0.0	0.0	0.0	0.0
genus	Orrella	Bacteria	0.0	0.0008173569901384	0.0	0.0	0.0	0.0003153460850147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
genus	Oscillibacter	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0324112689527899	0.0	0.0	0.0	0.0	0.0	0.0087868195859926
genus	Ottowia	Bacteria	0.0315078262006289	0.0086441068341062	0.0082326608600123	0.1581520917826125	0.0013276844886831	0.0053278311283179	0.0104692471325269	0.0130130322604615	0.0121999729907525	0.0336132477404621	0.000151873207495	0.0178201426412329	0.0	0.011027435590312
